open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759276800000,0.0741200,0.0744000,0.0740900,0.0741400,209229,1759276979999,15529.9835400,233,138001,10240.4632900,0
1759276980000,0.0741400,0.0743100,0.0740900,0.0740900,157756,1759277159999,11708.5218600,164,72913,5413.4787000,0
1759277160000,0.0741200,0.0742000,0.0738700,0.0740100,167353,1759277339999,12390.3254000,131,76888,5695.9786900,0
1759277340000,0.0740200,0.0740700,0.0739300,0.0740300,71790,1759277519999,5312.3115400,98,29524,2186.0452300,0
1759277520000,0.0740600,0.0741400,0.0738400,0.0741400,100151,1759277699999,7411.2431700,108,76785,5682.1477500,0
1759277700000,0.0741600,0.0744800,0.0741100,0.0741900,439768,1759277879999,32668.8793000,370,357912,26593.4820800,0
1759277880000,0.0742200,0.0748800,0.0742100,0.0747800,168440,1759278059999,12570.8193000,320,111316,8306.2919300,0
1759278060000,0.0747800,0.0752700,0.0747700,0.0751200,516990,1759278239999,38794.5522100,719,307996,23108.4805200,0
1759278240000,0.0751300,0.0751900,0.0749400,0.0750100,168178,1759278419999,12624.2387700,249,67257,5049.5228400,0
1759278420000,0.0749800,0.0749800,0.0748100,0.0748900,226931,1759278599999,16997.8697300,271,125672,9414.9177300,0
1759278600000,0.0748900,0.0751200,0.0748300,0.0749500,161402,1759278779999,12103.3993400,194,61431,4604.0396600,0
1759278780000,0.0749600,0.0750400,0.0748300,0.0750300,40162,1759278959999,3009.1181600,84,14570,1092.1286900,0
1759278960000,0.0750200,0.0752000,0.0748600,0.0750600,364191,1759279139999,27330.9342700,404,208953,15688.5449900,0
1759279140000,0.0750700,0.0753100,0.0749700,0.0752900,460887,1759279319999,34611.7280500,457,306815,23039.8814500,0
1759279320000,0.0753000,0.0753000,0.0746900,0.0749300,303844,1759279499999,22791.0126500,363,54937,4115.9384000,0
1759279500000,0.0749500,0.0751100,0.0748900,0.0749400,77450,1759279679999,5807.4062400,174,21862,1640.2817200,0
1759279680000,0.0749000,0.0750400,0.0748400,0.0749000,109496,1759279859999,8203.5398700,119,62049,4648.6945000,0
1759279860000,0.0749100,0.0749700,0.0747500,0.0748700,67054,1759280039999,5017.8474100,107,42394,3172.2101800,0
1759280040000,0.0748300,0.0750300,0.0748300,0.0749100,56201,1759280219999,4211.1688000,101,14338,1074.4181100,0
1759280220000,0.0748900,0.0751200,0.0748400,0.0748900,200950,1759280399999,15057.4048600,186,121503,9106.3265200,0
1759280400000,0.0748600,0.0750600,0.0748400,0.0749700,90061,1759280579999,6751.0982300,158,45840,3435.7672000,0
1759280580000,0.0749500,0.0749600,0.0747700,0.0749600,97355,1759280759999,7289.9941900,144,55345,4144.1944000,0
1759280760000,0.0749300,0.0750700,0.0747700,0.0748300,100951,1759280939999,7560.9459600,110,57344,4291.5630100,0
1759280940000,0.0749000,0.0750500,0.0748000,0.0748400,171123,1759281119999,12819.6563900,249,46034,3449.5815200,0
1759281120000,0.0748300,0.0748800,0.0744400,0.0745800,211134,1759281299999,15751.4598100,197,66449,4951.1352600,0
1759281300000,0.0745900,0.0746600,0.0744800,0.0745700,33794,1759281479999,2520.1444900,58,14026,1045.6896400,0
1759281480000,0.0745700,0.0745800,0.0744400,0.0745200,73015,1759281659999,5440.1279100,45,61352,4571.1621900,0
1759281660000,0.0744900,0.0746100,0.0744100,0.0746100,76771,1759281839999,5718.0453600,82,65450,4874.7009900,0
1759281840000,0.0745800,0.0746500,0.0745000,0.0746000,85392,1759282019999,6367.0497400,93,54950,4098.1797600,0
1759282020000,0.0745600,0.0746700,0.0744400,0.0745900,42177,1759282199999,3143.4692700,75,30609,2281.0528100,0
1759282200000,0.0745900,0.0746100,0.0743300,0.0743400,44207,1759282379999,3292.4551800,90,15886,1183.0174600,0
1759282380000,0.0743300,0.0745200,0.0738400,0.0745200,1881689,1759282559999,139272.2449100,675,479675,35540.8454300,0
1759282560000,0.0744700,0.0745700,0.0743600,0.0745100,151328,1759282739999,11270.8359400,159,68935,5133.9907500,0
1759282740000,0.0744700,0.0745600,0.0744400,0.0744800,250557,1759282919999,18671.0524500,258,215300,16044.5355200,0
1759282920000,0.0744800,0.0746300,0.0743200,0.0743200,152450,1759283099999,11350.5000000,229,49780,3709.4536300,0
1759283100000,0.0743500,0.0744200,0.0742800,0.0743800,114009,1759283279999,8478.0446400,131,90687,6743.8206000,0
