entry_idx,exit_idx,entry,exit,direction,pnl_usdt,balance_after,entry_date,exit_date
14,15,1.3825,1.390795,long,0.4492499999999968,10.449249999999997,2025-10-24 19:10:00,2025-10-24 19:15:00
18,19,1.4163,1.4247978,long,0.44925,10.898499999999997,2025-10-24 19:30:00,2025-10-24 19:35:00
31,32,1.4729,1.4817374,long,0.4492499999999997,11.347749999999996,2025-10-24 20:35:00,2025-10-24 20:40:00
34,35,1.4915,1.4870255000000001,long,-0.22574999999999684,11.122,2025-10-24 20:50:00,2025-10-24 20:55:00
39,40,1.3871,1.3787774,short,0.4492500000000037,11.571250000000003,2025-10-24 21:15:00,2025-10-24 21:20:00
46,47,1.4248,1.4333488,long,0.44925000000000115,12.020500000000004,2025-10-24 21:50:00,2025-10-24 21:55:00
49,50,1.4724,1.4679828,long,-0.22575000000000053,11.794750000000004,2025-10-24 22:05:00,2025-10-24 22:10:00
52,53,1.4954,1.4909138,long,-0.22575000000000534,11.568999999999999,2025-10-24 22:20:00,2025-10-24 22:25:00
73,74,1.4311,1.4225134,short,0.4492500000000058,12.018250000000005,2025-10-25 00:05:00,2025-10-25 00:10:00
76,77,1.4075,1.4117224999999998,short,-0.22574999999998913,11.792500000000016,2025-10-25 00:20:00,2025-10-25 00:25:00
84,85,1.4009,1.3924946,short,0.44925000000000037,12.241750000000017,2025-10-25 01:00:00,2025-10-25 01:05:00
106,107,1.3505,1.3545515,short,-0.22574999999999304,12.016000000000025,2025-10-25 02:50:00,2025-10-25 02:55:00
133,134,1.3015,1.2936910000000001,short,0.4492499999999973,12.465250000000022,2025-10-25 05:05:00,2025-10-25 05:10:00
136,137,1.2947,1.2985840999999998,short,-0.22574999999999046,12.239500000000032,2025-10-25 05:20:00,2025-10-25 05:25:00
145,146,1.2843,1.2881528999999998,short,-0.22574999999998985,12.013750000000043,2025-10-25 06:05:00,2025-10-25 06:10:00
155,156,1.3029,1.2950826,short,0.4492499999999985,12.463000000000042,2025-10-25 06:55:00,2025-10-25 07:00:00
179,181,1.3019,1.2940886,short,0.44925000000000137,12.912250000000043,2025-10-25 08:55:00,2025-10-25 09:05:00
203,204,1.2925,1.284745,short,0.4492499999999975,13.36150000000004,2025-10-25 10:55:00,2025-10-25 11:00:00
206,207,1.2814,1.2852442,short,-0.22574999999999137,13.13575000000005,2025-10-25 11:10:00,2025-10-25 11:15:00
214,215,1.3071,1.3031787,long,-0.22575000000000095,12.910000000000048,2025-10-25 11:50:00,2025-10-25 11:55:00
229,230,1.1627,1.1661880999999998,short,-0.22574999999998524,12.684250000000063,2025-10-25 13:05:00,2025-10-25 13:10:00
237,238,1.1913,1.1948739,short,-0.22574999999999418,12.458500000000068,2025-10-25 13:45:00,2025-10-25 13:50:00
240,241,1.1871,1.1799774,short,0.44924999999999865,12.907750000000068,2025-10-25 14:00:00,2025-10-25 14:05:00
252,253,1.178,1.1815339999999999,short,-0.22574999999999534,12.682000000000071,2025-10-25 15:00:00,2025-10-25 15:05:00
265,266,1.1788,1.1823363999999998,short,-0.22574999999998555,12.456250000000086,2025-10-25 16:05:00,2025-10-25 16:10:00
275,276,1.2092,1.2164552,long,0.44924999999999415,12.90550000000008,2025-10-25 16:55:00,2025-10-25 17:00:00
278,279,1.2294,1.2367764,long,0.44925000000000365,13.354750000000083,2025-10-25 17:10:00,2025-10-25 17:15:00
281,282,1.2389,1.2463334,long,0.44925000000000215,13.804000000000086,2025-10-25 17:25:00,2025-10-25 17:30:00
302,303,1.2424,1.2386728,long,-0.22574999999999584,13.57825000000009,2025-10-25 19:10:00,2025-10-25 19:15:00
305,306,1.2459,1.2421623,long,-0.225750000000004,13.352500000000086,2025-10-25 19:25:00,2025-10-25 19:30:00
322,323,1.2408,1.2370775999999999,long,-0.2257500000000009,13.126750000000085,2025-10-25 20:50:00,2025-10-25 20:55:00
329,330,1.2134,1.2061196,short,0.4492499999999978,13.576000000000082,2025-10-25 21:25:00,2025-10-25 21:30:00
339,340,1.2107,1.2143321,short,-0.2257499999999948,13.350250000000088,2025-10-25 22:15:00,2025-10-25 22:20:00
342,343,1.2064,1.2100191999999999,short,-0.22574999999999587,13.124500000000092,2025-10-25 22:30:00,2025-10-25 22:35:00
351,353,1.1959,1.1887246,short,0.4492499999999964,13.573750000000087,2025-10-25 23:15:00,2025-10-25 23:25:00
355,357,1.1903,1.1938708999999998,short,-0.2257499999999958,13.348000000000091,2025-10-25 23:35:00,2025-10-25 23:45:00
383,384,1.217,1.224302,long,0.449249999999995,13.797250000000087,2025-10-26 01:55:00,2025-10-26 02:00:00
386,387,1.2313,1.2386878000000001,long,0.4492500000000033,14.24650000000009,2025-10-26 02:10:00,2025-10-26 02:15:00
405,406,1.2178,1.2214534,short,-0.2257499999999949,14.020750000000096,2025-10-26 03:45:00,2025-10-26 03:50:00
409,410,1.2506,1.2581035999999999,long,0.44924999999999665,14.470000000000093,2025-10-26 04:05:00,2025-10-26 04:10:00
412,413,1.2615,1.2577155,long,-0.22575000000000472,14.244250000000088,2025-10-26 04:20:00,2025-10-26 04:25:00
426,427,1.27,1.27762,long,0.44924999999999765,14.693500000000085,2025-10-26 05:30:00,2025-10-26 05:35:00
429,430,1.2831,1.2792507,long,-0.22574999999999673,14.46775000000009,2025-10-26 05:45:00,2025-10-26 05:50:00
451,452,1.261,1.2572169999999998,long,-0.2257500000000055,14.242000000000084,2025-10-26 07:35:00,2025-10-26 07:40:00
461,462,1.2304,1.2340911999999997,short,-0.22574999999998685,14.016250000000097,2025-10-26 08:25:00,2025-10-26 08:30:00
492,493,1.2129,1.2165386999999999,short,-0.2257499999999859,13.790500000000112,2025-10-26 11:00:00,2025-10-26 11:05:00
495,496,1.1963,1.1998888999999997,short,-0.22574999999998646,13.564750000000124,2025-10-26 11:15:00,2025-10-26 11:20:00
499,500,1.2313,1.2276061,long,-0.22575000000000167,13.339000000000123,2025-10-26 11:35:00,2025-10-26 11:40:00
506,507,1.2562,1.2524314,long,-0.22574999999999404,13.113250000000129,2025-10-26 12:10:00,2025-10-26 12:15:00
509,510,1.2512,1.2474464,long,-0.2257500000000014,12.887500000000127,2025-10-26 12:25:00,2025-10-26 12:30:00
