entry_idx,exit_idx,entry,exit,direction,pnl_usdt,balance_after,entry_date,exit_date
5,9,2.5927407,2.5823697371999996,short,0.2985000000000047,893.2985,2025-10-30 07:57:00,2025-10-30 08:09:00
11,27,2.57944203,2.56912426188,short,0.2985000000000053,893.597,2025-10-30 08:15:00,2025-10-30 09:03:00
29,34,2.56244373,2.56756861746,short,-0.15150000000000177,893.4454999999999,2025-10-30 09:09:00,2025-10-30 09:24:00
49,51,2.56144383,2.5665667176599998,short,-0.15149999999999408,893.294,2025-10-30 10:09:00,2025-10-30 10:15:00
53,54,2.59645962,2.59126670076,long,-0.1515000000000059,893.1424999999999,2025-10-30 10:21:00,2025-10-30 10:24:00
58,65,2.56914306,2.55886648776,short,0.2985000000000001,893.4409999999999,2025-10-30 10:36:00,2025-10-30 10:57:00
67,68,2.55844413,2.5635610182599997,short,-0.15149999999999697,893.2895,2025-10-30 11:03:00,2025-10-30 11:06:00
77,79,2.5503449400000004,2.5401435602400007,short,0.29849999999999394,893.588,2025-10-30 11:33:00,2025-10-30 11:39:00
82,85,2.53324665,2.5231136634,short,0.29849999999999843,893.8865,2025-10-30 11:48:00,2025-10-30 11:57:00
95,96,2.48865111,2.49362841222,short,-0.1514999999999977,893.735,2025-10-30 12:27:00,2025-10-30 12:30:00
100,101,2.45235474,2.45725944948,short,-0.1514999999999963,893.5835000000001,2025-10-30 12:42:00,2025-10-30 12:45:00
103,104,2.44545543,2.43567360828,short,0.29849999999999577,893.8820000000001,2025-10-30 12:51:00,2025-10-30 12:54:00
117,118,2.42735724,2.41764781104,short,0.29849999999999793,894.1805,2025-10-30 13:33:00,2025-10-30 13:36:00
120,121,2.41535844,2.42018915688,short,-0.1514999999999975,894.0290000000001,2025-10-30 13:42:00,2025-10-30 13:45:00
132,133,2.41215876,2.41698307752,short,-0.15149999999999342,893.8775000000002,2025-10-30 14:18:00,2025-10-30 14:21:00
180,181,2.3785621200000002,2.3833192442400004,short,-0.15150000000000594,893.7260000000001,2025-10-30 16:42:00,2025-10-30 16:45:00
189,191,2.3697630000000003,2.360283948,short,0.29850000000000304,894.0245000000001,2025-10-30 17:09:00,2025-10-30 17:15:00
193,194,2.3470652700000003,2.35175940054,short,-0.1514999999999967,893.8730000000002,2025-10-30 17:21:00,2025-10-30 17:24:00
197,198,2.32466751,2.3293168450199997,short,-0.15149999999999575,893.7215000000002,2025-10-30 17:33:00,2025-10-30 17:36:00
239,240,2.329767,2.334426534,short,-0.15149999999999889,893.5700000000002,2025-10-30 19:39:00,2025-10-30 19:42:00
247,248,2.3247675,2.329417035,short,-0.1514999999999994,893.4185000000001,2025-10-30 20:03:00,2025-10-30 20:06:00
251,252,2.3461345899999997,2.3414423208199997,long,-0.15149999999999958,893.267,2025-10-30 20:15:00,2025-10-30 20:18:00
257,259,2.35253523,2.34783015954,long,-0.15150000000000052,893.1155,2025-10-30 20:33:00,2025-10-30 20:39:00
282,283,2.37073705,2.3659955759,long,-0.15149999999999397,892.964,2025-10-30 21:48:00,2025-10-30 21:51:00
285,289,2.3703370099999996,2.3655963359799994,long,-0.1515000000000071,892.8125,2025-10-30 21:57:00,2025-10-30 22:09:00
296,297,2.36843682,2.3636999463599997,long,-0.15150000000000616,892.661,2025-10-30 22:30:00,2025-10-30 22:33:00
300,302,2.3730372799999997,2.36829120544,long,-0.1514999999999959,892.5095,2025-10-30 22:42:00,2025-10-30 22:48:00
313,317,2.38083806,2.39036141224,long,0.29850000000000015,892.808,2025-10-30 23:21:00,2025-10-30 23:33:00
323,330,2.3966396399999996,2.4062261985599998,long,0.298500000000004,893.1065,2025-10-30 23:51:00,2025-10-31 00:12:00
339,341,2.40634061,2.4015279287799998,long,-0.15150000000000702,892.9549999999999,2025-10-31 00:39:00,2025-10-31 00:45:00
343,344,2.42244222,2.41759733556,long,-0.15150000000000607,892.8034999999999,2025-10-31 00:51:00,2025-10-31 00:54:00
351,353,2.42764274,2.42278745452,long,-0.15150000000000424,892.6519999999998,2025-10-31 01:15:00,2025-10-31 01:21:00
365,367,2.42614259,2.42129030482,long,-0.15150000000000424,892.5004999999998,2025-10-31 01:57:00,2025-10-31 02:03:00
369,371,2.40885909,2.41367680818,short,-0.15149999999999955,892.3489999999997,2025-10-31 02:09:00,2025-10-31 02:15:00
374,377,2.41834181,2.41350512638,long,-0.15149999999999325,892.1974999999998,2025-10-31 02:24:00,2025-10-31 02:33:00
379,383,2.40065991,2.4054612298199998,short,-0.15149999999999603,892.0459999999998,2025-10-31 02:39:00,2025-10-31 02:51:00
391,396,2.41744172,2.4126068365599997,long,-0.1515000000000015,891.8944999999998,2025-10-31 03:15:00,2025-10-31 03:30:00
403,405,2.40865911,2.41347642822,short,-0.1515000000000062,891.7429999999997,2025-10-31 03:51:00,2025-10-31 03:57:00
407,409,2.41974195,2.4294209178000004,long,0.29850000000000665,892.0414999999997,2025-10-31 04:03:00,2025-10-31 04:09:00
422,429,2.44294427,2.45271604708,long,0.29850000000000304,892.3399999999997,2025-10-31 04:48:00,2025-10-31 05:09:00
462,466,2.42805717,2.43291328434,short,-0.15149999999999642,892.1884999999997,2025-10-31 06:48:00,2025-10-31 07:00:00
471,490,2.42805717,2.41834494132,short,0.2985000000000065,892.4869999999997,2025-10-31 07:15:00,2025-10-31 08:12:00
495,497,2.4310430800000002,2.42618099384,long,-0.15150000000000513,892.3354999999997,2025-10-31 08:27:00,2025-10-31 08:33:00
502,507,2.43494347,2.43007358306,long,-0.15149999999999697,892.1839999999997,2025-10-31 08:48:00,2025-10-31 09:03:00
514,519,2.4115588199999998,2.4163819376399998,short,-0.15149999999999955,892.0324999999997,2025-10-31 09:24:00,2025-10-31 09:39:00
524,527,2.41005897,2.41487908794,short,-0.15150000000000108,891.8809999999996,2025-10-31 09:54:00,2025-10-31 10:03:00
531,533,2.40695928,2.41177319856,short,-0.15150000000000058,891.7294999999996,2025-10-31 10:15:00,2025-10-31 10:21:00
544,549,2.40355962,2.40836673924,short,-0.1515000000000032,891.5779999999995,2025-10-31 10:54:00,2025-10-31 11:09:00
561,563,2.4142414000000003,2.4238983656000004,long,0.298500000000002,891.8764999999995,2025-10-31 11:45:00,2025-10-31 11:51:00
565,568,2.42874285,2.4238853643,long,-0.15150000000000335,891.7249999999995,2025-10-31 11:57:00,2025-10-31 12:06:00
579,580,2.41325865,2.4180851673,short,-0.15150000000000516,891.5734999999994,2025-10-31 12:39:00,2025-10-31 12:42:00
582,586,2.40985899,2.41467870798,short,-0.15149999999999395,891.4219999999995,2025-10-31 12:48:00,2025-10-31 13:00:00
589,593,2.41784176,2.42751312704,long,0.2985000000000048,891.7204999999994,2025-10-31 13:09:00,2025-10-31 13:21:00
600,601,2.4047595,2.409569019,short,-0.15150000000000474,891.5689999999994,2025-10-31 13:42:00,2025-10-31 13:45:00
604,607,2.42244222,2.41759733556,long,-0.15150000000000607,891.4174999999993,2025-10-31 13:54:00,2025-10-31 14:03:00
613,614,2.41365861,2.4184859272200003,short,-0.15150000000000566,891.2659999999993,2025-10-31 14:21:00,2025-10-31 14:24:00
623,624,2.4271426899999997,2.4368512607599997,long,0.2984999999999994,891.5644999999993,2025-10-31 14:51:00,2025-10-31 14:54:00
634,637,2.40185979,2.40666350958,short,-0.15149999999999753,891.4129999999993,2025-10-31 15:24:00,2025-10-31 15:33:00
645,646,2.3860613699999997,2.3908334927399997,short,-0.1514999999999981,891.2614999999994,2025-10-31 15:57:00,2025-10-31 16:00:00
648,649,2.38616136,2.37661671456,short,0.2985000000000035,891.5599999999994,2025-10-31 16:06:00,2025-10-31 16:09:00
651,653,2.37556242,2.36606017032,short,0.2985000000000041,891.8584999999994,2025-10-31 16:15:00,2025-10-31 16:21:00
655,656,2.35536444,2.36007516888,short,-0.151500000000004,891.7069999999993,2025-10-31 16:27:00,2025-10-31 16:30:00
661,662,2.3414658299999997,2.3320999666799995,short,0.29850000000000715,892.0054999999993,2025-10-31 16:45:00,2025-10-31 16:48:00
664,667,2.32526745,2.3299179849000002,short,-0.1515000000000037,891.8539999999992,2025-10-31 16:54:00,2025-10-31 17:03:00
670,672,2.31996798,2.31068810808,short,0.29850000000000054,892.1524999999992,2025-10-31 17:12:00,2025-10-31 17:18:00
708,711,2.34466551,2.34935484102,short,-0.15149999999999356,892.0009999999993,2025-10-31 19:06:00,2025-10-31 19:15:00
713,716,2.35783576,2.36726710304,long,0.2985000000000048,892.2994999999993,2025-10-31 19:21:00,2025-10-31 19:30:00
718,720,2.37233721,2.38182655884,long,0.29849999999999544,892.5979999999993,2025-10-31 19:36:00,2025-10-31 19:42:00
722,724,2.41004098,2.40522089804,long,-0.15150000000000516,892.4464999999992,2025-10-31 19:48:00,2025-10-31 19:54:00
778,780,2.40664064,2.40182735872,long,-0.15150000000000424,892.2949999999992,2025-10-31 22:36:00,2025-10-31 22:42:00
791,799,2.41014099,2.41978155396,long,0.29850000000000393,892.5934999999992,2025-10-31 23:15:00,2025-10-31 23:39:00
811,813,2.4212420999999997,2.4163996157999996,long,-0.15150000000000335,892.4419999999991,2025-11-01 00:15:00,2025-11-01 00:21:00
816,817,2.40215976,2.40696407952,short,-0.15149999999999444,892.2904999999992,2025-11-01 00:30:00,2025-11-01 00:33:00
821,828,2.4171416900000002,2.42681025676,long,0.2984999999999947,892.5889999999991,2025-11-01 00:45:00,2025-11-01 01:06:00
