entry_idx,exit_idx,entry,exit,direction,reason,pnl_usdt,balance_after,entry_date,exit_date
6,6,0.11591,0.11602590999999998,short,IMMEDIATE_SL_HIT,-0.14999999999998898,8.85000000000001,2025-10-29 13:57:00,2025-10-29 13:57:00
22,22,0.11554,0.11565553999999999,short,IMMEDIATE_SL_HIT,-0.14999999999998925,8.70000000000002,2025-10-29 14:13:00,2025-10-29 14:13:00
28,28,0.11508,0.11519507999999999,short,IMMEDIATE_SL_HIT,-0.14999999999999325,8.550000000000027,2025-10-29 14:19:00,2025-10-29 14:19:00
36,36,0.11525,0.11536524999999999,short,IMMEDIATE_SL_HIT,-0.1499999999999892,8.400000000000038,2025-10-29 14:27:00,2025-10-29 14:27:00
39,39,0.11538,0.11549537999999998,short,IMMEDIATE_SL_HIT,-0.14999999999998986,8.250000000000048,2025-10-29 14:30:00,2025-10-29 14:30:00
44,44,0.11622,0.11610378,long,IMMEDIATE_SL_HIT,-0.15000000000000013,8.100000000000048,2025-10-29 14:35:00,2025-10-29 14:35:00
52,52,0.11531,0.11542530999999999,short,IMMEDIATE_SL_HIT,-0.14999999999999575,7.950000000000052,2025-10-29 14:43:00,2025-10-29 14:43:00
54,54,0.11547,0.11558547,short,IMMEDIATE_SL_HIT,-0.14999999999999514,7.800000000000057,2025-10-29 14:45:00,2025-10-29 14:45:00
57,57,0.116,0.115884,long,IMMEDIATE_SL_HIT,-0.15000000000000321,7.650000000000054,2025-10-29 14:48:00,2025-10-29 14:48:00
61,61,0.11467,0.11478466999999998,short,IMMEDIATE_SL_HIT,-0.14999999999998914,7.500000000000065,2025-10-29 14:52:00,2025-10-29 14:52:00
64,65,0.11457,0.11468456999999999,short,SL_HIT,-0.14999999999998725,7.350000000000078,2025-10-29 14:55:00,2025-10-29 14:56:00
75,75,0.11402,0.11413401999999999,short,IMMEDIATE_SL_HIT,-0.14999999999999505,7.200000000000083,2025-10-29 15:06:00,2025-10-29 15:06:00
82,82,0.11314,0.11291372000000001,short,IMMEDIATE_TP_HIT,0.0749999999999969,7.275000000000079,2025-10-29 15:13:00,2025-10-29 15:13:00
84,84,0.11211,0.11222210999999999,short,IMMEDIATE_SL_HIT,-0.14999999999998975,7.12500000000009,2025-10-29 15:15:00,2025-10-29 15:15:00
86,86,0.11193,0.11204192999999998,short,IMMEDIATE_SL_HIT,-0.14999999999998814,6.975000000000102,2025-10-29 15:17:00,2025-10-29 15:17:00
99,99,0.11155,0.11166154999999998,short,IMMEDIATE_SL_HIT,-0.14999999999999197,6.825000000000109,2025-10-29 15:30:00,2025-10-29 15:30:00
105,105,0.11094,0.11071812,short,IMMEDIATE_TP_HIT,0.07499999999999578,6.900000000000105,2025-10-29 15:36:00,2025-10-29 15:36:00
107,107,0.10756,0.10766756,short,IMMEDIATE_SL_HIT,-0.1499999999999949,6.75000000000011,2025-10-29 15:38:00,2025-10-29 15:38:00
109,109,0.10859,0.10869859,short,IMMEDIATE_SL_HIT,-0.1499999999999943,6.600000000000116,2025-10-29 15:40:00,2025-10-29 15:40:00
136,136,0.11048,0.11025903999999999,short,IMMEDIATE_TP_HIT,0.07500000000000419,6.675000000000121,2025-10-29 16:07:00,2025-10-29 16:07:00
138,138,0.10994,0.11004993999999998,short,IMMEDIATE_SL_HIT,-0.14999999999999247,6.525000000000128,2025-10-29 16:09:00,2025-10-29 16:09:00
142,143,0.11086,0.11074914,long,SL_HIT,-0.1500000000000029,6.375000000000125,2025-10-29 16:13:00,2025-10-29 16:14:00
171,171,0.1124,0.1122876,long,IMMEDIATE_SL_HIT,-0.14999999999999908,6.225000000000126,2025-10-29 16:42:00,2025-10-29 16:42:00
193,193,0.11259,0.11247741,long,IMMEDIATE_SL_HIT,-0.1499999999999972,6.075000000000129,2025-10-29 17:04:00,2025-10-29 17:04:00
209,209,0.11174,0.11185173999999999,short,IMMEDIATE_SL_HIT,-0.14999999999999006,5.925000000000139,2025-10-29 17:20:00,2025-10-29 17:20:00
226,227,0.11245,0.1126749,long,TP_HIT,0.07500000000000007,6.000000000000139,2025-10-29 17:37:00,2025-10-29 17:38:00
229,229,0.11302,0.11290697999999999,long,IMMEDIATE_SL_HIT,-0.15000000000000355,5.8500000000001355,2025-10-29 17:40:00,2025-10-29 17:40:00
242,243,0.1118,0.11157639999999999,short,TP_HIT,0.07500000000000293,5.925000000000138,2025-10-29 17:53:00,2025-10-29 17:54:00
245,245,0.11186,0.11197185999999999,short,IMMEDIATE_SL_HIT,-0.14999999999999425,5.775000000000144,2025-10-29 17:56:00,2025-10-29 17:56:00
248,249,0.11218,0.11240436000000001,long,TP_HIT,0.07500000000000452,5.850000000000149,2025-10-29 17:59:00,2025-10-29 18:00:00
251,251,0.11279,0.11301558,long,IMMEDIATE_TP_HIT,0.07500000000000198,5.925000000000151,2025-10-29 18:02:00,2025-10-29 18:02:00
253,253,0.11318,0.11306682,long,IMMEDIATE_SL_HIT,-0.1500000000000029,5.775000000000148,2025-10-29 18:04:00,2025-10-29 18:04:00
264,264,0.11231,0.11242230999999998,short,IMMEDIATE_SL_HIT,-0.14999999999999364,5.6250000000001545,2025-10-29 18:15:00,2025-10-29 18:15:00
289,289,0.10516,0.10526516,short,IMMEDIATE_SL_HIT,-0.14999999999999503,5.4750000000001595,2025-10-29 18:40:00,2025-10-29 18:40:00
291,291,0.10531,0.10541530999999998,short,IMMEDIATE_SL_HIT,-0.14999999999998823,5.325000000000172,2025-10-29 18:42:00,2025-10-29 18:42:00
299,299,0.11121,0.11109879,long,IMMEDIATE_SL_HIT,-0.1500000000000003,5.175000000000171,2025-10-29 18:50:00,2025-10-29 18:50:00
305,305,0.11116,0.11093768,short,IMMEDIATE_TP_HIT,0.07499999999999869,5.25000000000017,2025-10-29 18:56:00,2025-10-29 18:56:00
308,308,0.11038,0.11049038,short,IMMEDIATE_SL_HIT,-0.14999999999999541,5.100000000000175,2025-10-29 18:59:00,2025-10-29 18:59:00
314,314,0.11182,0.11204364,long,IMMEDIATE_TP_HIT,0.07499999999999811,5.175000000000173,2025-10-29 19:05:00,2025-10-29 19:05:00
