entry_idx,exit_idx,entry,exit,direction,pnl_usdt,balance_after,entry_date,exit_date
6,12,0.29456,0.29544367999999993,short,-0.2257499999999853,9.774250000000015,2025-10-24 18:30:00,2025-10-24 19:00:00
15,19,0.2958,0.2949126,long,-0.22574999999999557,9.548500000000018,2025-10-24 19:15:00,2025-10-24 19:35:00
21,24,0.29437,0.29525311,short,-0.225749999999991,9.322750000000028,2025-10-24 19:45:00,2025-10-24 20:00:00
43,66,0.297,0.298782,long,0.4492500000000015,9.772000000000029,2025-10-24 21:35:00,2025-10-24 23:30:00
68,71,0.29931,0.30110586,long,0.4492499999999956,10.221250000000024,2025-10-24 23:40:00,2025-10-24 23:55:00
73,74,0.3048,0.30388560000000003,long,-0.22574999999999554,9.995500000000028,2025-10-25 00:05:00,2025-10-25 00:10:00
86,99,0.30125,0.30034625000000004,long,-0.22574999999999523,9.769750000000034,2025-10-25 01:10:00,2025-10-25 02:15:00
104,110,0.30253,0.30434518000000005,long,0.4492500000000068,10.21900000000004,2025-10-25 02:40:00,2025-10-25 03:10:00
112,114,0.30512,0.30695072,long,0.449250000000002,10.668250000000043,2025-10-25 03:20:00,2025-10-25 03:30:00
116,118,0.31089,0.30995733,long,-0.22575000000000586,10.442500000000038,2025-10-25 03:40:00,2025-10-25 03:50:00
120,121,0.31253,0.31159241,long,-0.22574999999999718,10.21675000000004,2025-10-25 04:00:00,2025-10-25 04:05:00
123,124,0.31205,0.3139223,long,0.4492499999999985,10.66600000000004,2025-10-25 04:15:00,2025-10-25 04:20:00
126,127,0.3115,0.3105655,long,-0.22575000000000117,10.440250000000038,2025-10-25 04:30:00,2025-10-25 04:35:00
134,135,0.30561,0.30377634,short,0.44925000000000365,10.88950000000004,2025-10-25 05:10:00,2025-10-25 05:15:00
140,141,0.30733,0.30640801,long,-0.225749999999996,10.663750000000045,2025-10-25 05:40:00,2025-10-25 05:45:00
148,159,0.30038,0.29857772,short,0.4492499999999974,11.113000000000042,2025-10-25 06:20:00,2025-10-25 07:15:00
