entry_idx,exit_idx,entry,exit,direction,reason,pnl_usdt,balance_after,entry_date,exit_date
8,8,0.2955,0.296091,long,IMMEDIATE_TP_HIT,0.07500000000000209,9.075000000000003,2025-10-29 13:59:00,2025-10-29 13:59:00
10,10,0.2954,0.2951046,long,IMMEDIATE_SL_HIT,-0.1500000000000003,8.925000000000002,2025-10-29 14:01:00,2025-10-29 14:01:00
13,13,0.2926,0.2928926,short,IMMEDIATE_SL_HIT,-0.14999999999999392,8.77500000000001,2025-10-29 14:04:00,2025-10-29 14:04:00
25,25,0.2949,0.2946051,long,IMMEDIATE_SL_HIT,-0.14999999999999666,8.625000000000012,2025-10-29 14:16:00,2025-10-29 14:16:00
28,28,0.2913,0.2915913,short,IMMEDIATE_SL_HIT,-0.14999999999999855,8.475000000000014,2025-10-29 14:19:00,2025-10-29 14:19:00
30,30,0.2917,0.29199169999999997,short,IMMEDIATE_SL_HIT,-0.14999999999998723,8.325000000000026,2025-10-29 14:21:00,2025-10-29 14:21:00
45,45,0.2938,0.2935062,long,IMMEDIATE_SL_HIT,-0.15000000000000274,8.175000000000024,2025-10-29 14:36:00,2025-10-29 14:36:00
47,47,0.2943,0.2940057,long,IMMEDIATE_SL_HIT,-0.1500000000000064,8.025000000000018,2025-10-29 14:38:00,2025-10-29 14:38:00
58,58,0.2958,0.2955042,long,IMMEDIATE_SL_HIT,-0.15000000000000321,7.875000000000015,2025-10-29 14:49:00,2025-10-29 14:49:00
68,68,0.2935,0.29379349999999993,short,IMMEDIATE_SL_HIT,-0.14999999999998637,7.725000000000029,2025-10-29 14:59:00,2025-10-29 14:59:00
74,74,0.2928,0.2930928,short,IMMEDIATE_SL_HIT,-0.1499999999999954,7.575000000000034,2025-10-29 15:05:00,2025-10-29 15:05:00
78,78,0.2921,0.2923921,short,IMMEDIATE_SL_HIT,-0.1499999999999902,7.425000000000043,2025-10-29 15:09:00,2025-10-29 15:09:00
80,80,0.2915,0.290917,short,IMMEDIATE_TP_HIT,0.07500000000000007,7.5000000000000435,2025-10-29 15:11:00,2025-10-29 15:11:00
82,82,0.2912,0.29061760000000003,short,IMMEDIATE_TP_HIT,0.07499999999999561,7.575000000000039,2025-10-29 15:13:00,2025-10-29 15:13:00
84,84,0.2898,0.29008979999999995,short,IMMEDIATE_SL_HIT,-0.14999999999998737,7.425000000000052,2025-10-29 15:15:00,2025-10-29 15:15:00
87,88,0.2896,0.28988959999999997,short,SL_HIT,-0.14999999999998587,7.275000000000066,2025-10-29 15:18:00,2025-10-29 15:19:00
94,94,0.2876,0.28788759999999997,short,IMMEDIATE_SL_HIT,-0.14999999999998526,7.125000000000081,2025-10-29 15:25:00,2025-10-29 15:25:00
96,96,0.2868,0.2870868,short,IMMEDIATE_SL_HIT,-0.14999999999999372,6.975000000000087,2025-10-29 15:27:00,2025-10-29 15:27:00
113,113,0.2863,0.2857274,short,IMMEDIATE_TP_HIT,0.0749999999999944,7.050000000000081,2025-10-29 15:44:00,2025-10-29 15:44:00
115,115,0.2866,0.2860268,short,IMMEDIATE_TP_HIT,0.07499999999999893,7.12500000000008,2025-10-29 15:46:00,2025-10-29 15:46:00
117,117,0.2828,0.28308279999999997,short,IMMEDIATE_SL_HIT,-0.14999999999999258,6.975000000000088,2025-10-29 15:48:00,2025-10-29 15:48:00
150,150,0.2889,0.2894778,long,IMMEDIATE_TP_HIT,0.07500000000000445,7.050000000000092,2025-10-29 16:21:00,2025-10-29 16:21:00
