entry_idx,exit_idx,entry,exit,direction,pnl_usdt,balance_after,entry_date,exit_date
13,15,1.5728427,1.5665513292,short,2.089500000000028,895.0895,2025-10-30 09:03:00,2025-10-30 09:09:00
35,39,1.5658434,1.5689750868,short,-1.0604999999999924,894.029,2025-10-30 10:09:00,2025-10-30 10:21:00
48,55,1.5648435,1.558584126,short,2.089500000000032,896.1185,2025-10-30 10:48:00,2025-10-30 11:09:00
65,68,1.5628437,1.5565923252,short,2.089499999999977,898.208,2025-10-30 11:39:00,2025-10-30 11:48:00
72,73,1.5528446999999999,1.5559503894,short,-1.0605000000000375,897.1474999999999,2025-10-30 12:00:00,2025-10-30 12:03:00
75,77,1.5508449,1.5446415204,short,2.0895000000000197,899.237,2025-10-30 12:09:00,2025-10-30 12:15:00
79,80,1.5438456,1.5376702176,short,2.0894999999999757,901.3264999999999,2025-10-30 12:21:00,2025-10-30 12:24:00
83,85,1.5378462,1.5316948151999998,short,2.0895000000000357,903.4159999999999,2025-10-30 12:33:00,2025-10-30 12:39:00
87,89,1.5168483,1.5107809068,short,2.089499999999979,905.5054999999999,2025-10-30 12:45:00,2025-10-30 12:51:00
104,105,1.4948505,1.497840201,short,-1.0604999999999842,904.4449999999999,2025-10-30 13:36:00,2025-10-30 13:39:00
111,112,1.4968503000000002,1.4998440006000002,short,-1.060500000000013,903.3844999999999,2025-10-30 13:57:00,2025-10-30 14:00:00
145,146,1.4878512,1.4908269024,short,-1.0605000000000397,902.3239999999998,2025-10-30 15:39:00,2025-10-30 15:42:00
160,161,1.4958504,1.4988421008,short,-1.0604999999999989,901.2634999999998,2025-10-30 16:24:00,2025-10-30 16:27:00
166,168,1.4908509,1.4938326018,short,-1.0605000000000047,900.2029999999997,2025-10-30 16:42:00,2025-10-30 16:48:00
176,179,1.4788521000000001,1.4729366916000002,short,2.0894999999999757,902.2924999999997,2025-10-30 17:12:00,2025-10-30 17:21:00
183,184,1.4558544,1.4500309824,short,2.089500000000017,904.3819999999997,2025-10-30 17:33:00,2025-10-30 17:36:00
197,198,1.4548545000000002,1.4577642090000003,short,-1.0605000000000337,903.3214999999997,2025-10-30 18:15:00,2025-10-30 18:18:00
200,201,1.4518548,1.4547585096,short,-1.0604999999999893,902.2609999999997,2025-10-30 18:24:00,2025-10-30 18:27:00
204,205,1.4458554,1.4487471107999998,short,-1.0604999999999807,901.2004999999998,2025-10-30 18:36:00,2025-10-30 18:39:00
212,213,1.4478552,1.4507509104,short,-1.0605000000000104,900.1399999999998,2025-10-30 19:00:00,2025-10-30 19:03:00
219,220,1.449855,1.45275471,short,-1.0605000000000402,899.0794999999997,2025-10-30 19:21:00,2025-10-30 19:24:00
224,226,1.4438556,1.4467433112,short,-1.0605000000000315,898.0189999999997,2025-10-30 19:36:00,2025-10-30 19:42:00
244,245,1.4521452,1.4492409095999998,long,-1.0605000000000235,896.9584999999996,2025-10-30 20:36:00,2025-10-30 20:39:00
247,257,1.4521452,1.4492409095999998,long,-1.0605000000000235,895.8979999999996,2025-10-30 20:45:00,2025-10-30 21:15:00
260,261,1.4518548,1.4547585096,short,-1.0604999999999893,894.8374999999996,2025-10-30 21:24:00,2025-10-30 21:27:00
265,266,1.4661465999999999,1.4632143067999999,long,-1.0604999999999971,893.7769999999996,2025-10-30 21:39:00,2025-10-30 21:42:00
268,271,1.4731473000000002,1.4702010054,long,-1.0605000000000233,892.7164999999995,2025-10-30 21:48:00,2025-10-30 21:57:00
280,284,1.4761476,1.4820521904,long,2.0894999999999677,894.8059999999995,2025-10-30 22:24:00,2025-10-30 22:36:00
287,289,1.4891489,1.4951054956,long,2.0895000000000206,896.8954999999995,2025-10-30 22:45:00,2025-10-30 22:51:00
291,292,1.5151515,1.521212106,long,2.08949999999997,898.9849999999994,2025-10-30 22:57:00,2025-10-30 23:00:00
294,295,1.5081508,1.5051344984,long,-1.0604999999999978,897.9244999999994,2025-10-30 23:06:00,2025-10-30 23:09:00
297,298,1.4758524,1.4788041048,short,-1.0605000000000235,896.8639999999994,2025-10-30 23:15:00,2025-10-30 23:18:00
300,301,1.469853,1.4727927060000001,short,-1.0605000000000149,895.8034999999993,2025-10-30 23:24:00,2025-10-30 23:27:00
310,311,1.4678532,1.4707889064,short,-1.0604999999999856,894.7429999999994,2025-10-30 23:54:00,2025-10-30 23:57:00
313,314,1.4628537000000001,1.4657794074000001,short,-1.0604999999999918,893.6824999999993,2025-10-31 00:03:00,2025-10-31 00:06:00
316,317,1.4618538,1.4560063848,short,2.089500000000034,895.7719999999994,2025-10-31 00:12:00,2025-10-31 00:15:00
319,320,1.4548545000000002,1.4490350820000002,short,2.0894999999999873,897.8614999999994,2025-10-31 00:21:00,2025-10-31 00:24:00
324,325,1.4831483,1.4801820034000002,long,-1.060499999999971,896.8009999999995,2025-10-31 00:36:00,2025-10-31 00:39:00
327,329,1.4771477000000002,1.4830562908000002,long,2.08950000000002,898.8904999999995,2025-10-31 00:45:00,2025-10-31 00:51:00
331,332,1.4871487,1.4841744026,long,-1.0604999999999973,897.8299999999995,2025-10-31 00:57:00,2025-10-31 01:00:00
337,340,1.4981498,1.5041423992,long,2.089500000000021,899.9194999999995,2025-10-31 01:15:00,2025-10-31 01:24:00
342,346,1.5051504999999998,1.5021401989999998,long,-1.0604999999999978,898.8589999999995,2025-10-31 01:30:00,2025-10-31 01:42:00
348,349,1.5111511,1.5081287978,long,-1.0604999999999978,897.7984999999994,2025-10-31 01:48:00,2025-10-31 01:51:00
360,364,1.5061506,1.5031382988,long,-1.0605000000000235,896.7379999999994,2025-10-31 02:24:00,2025-10-31 02:36:00
366,369,1.4908509,1.4938326018,short,-1.0605000000000047,895.6774999999993,2025-10-31 02:42:00,2025-10-31 02:51:00
382,383,1.489851,1.492830702,short,-1.0604999999999905,894.6169999999993,2025-10-31 03:30:00,2025-10-31 03:33:00
387,390,1.4971497,1.4941554006,long,-1.0605000000000233,893.5564999999992,2025-10-31 03:45:00,2025-10-31 03:54:00
395,396,1.5141514,1.5111230972,long,-1.0604999999999978,892.4959999999992,2025-10-31 04:09:00,2025-10-31 04:12:00
408,412,1.5061506,1.5031382988,long,-1.0605000000000235,891.4354999999991,2025-10-31 04:48:00,2025-10-31 05:00:00
426,427,1.49985,1.5028496999999998,short,-1.0604999999999785,890.3749999999992,2025-10-31 05:42:00,2025-10-31 05:45:00
430,434,1.5061506,1.5031382988,long,-1.0605000000000235,889.3144999999992,2025-10-31 05:54:00,2025-10-31 06:06:00
446,452,1.4948505,1.497840201,short,-1.0604999999999842,888.2539999999992,2025-10-31 06:42:00,2025-10-31 07:00:00
455,459,1.50015,1.4971497,long,-1.0605000000000233,887.1934999999992,2025-10-31 07:09:00,2025-10-31 07:21:00
461,469,1.4948505,1.4888710980000002,short,2.0894999999999686,889.2829999999991,2025-10-31 07:27:00,2025-10-31 07:51:00
478,479,1.5041503999999999,1.5011420992,long,-1.0604999999999718,888.2224999999992,2025-10-31 08:18:00,2025-10-31 08:21:00
482,485,1.4928507000000002,1.4958364014000003,short,-1.0605000000000335,887.1619999999991,2025-10-31 08:30:00,2025-10-31 08:39:00
487,488,1.4951495000000001,1.5011300980000002,long,2.0895000000000206,889.2514999999992,2025-10-31 08:45:00,2025-10-31 08:48:00
492,493,1.5041503999999999,1.5011420992,long,-1.0604999999999718,888.1909999999992,2025-10-31 09:00:00,2025-10-31 09:03:00
499,525,1.4958504,1.4988421008,short,-1.0604999999999989,887.1304999999992,2025-10-31 09:21:00,2025-10-31 10:39:00
527,530,1.4991499000000001,1.4961516002000002,long,-1.0604999999999973,886.0699999999991,2025-10-31 10:45:00,2025-10-31 10:54:00
532,538,1.4938506,1.4878751976,short,2.0895000000000183,888.1594999999992,2025-10-31 11:00:00,2025-10-31 11:18:00
540,541,1.4868513,1.4898250026000002,short,-1.060500000000025,887.0989999999991,2025-10-31 11:24:00,2025-10-31 11:27:00
546,548,1.4951495000000001,1.5011300980000002,long,2.0895000000000206,889.1884999999992,2025-10-31 11:42:00,2025-10-31 11:48:00
550,552,1.510151,1.507130698,long,-1.0604999999999718,888.1279999999992,2025-10-31 11:54:00,2025-10-31 12:00:00
565,566,1.5008499,1.5038515998,short,-1.060499999999993,887.0674999999992,2025-10-31 12:39:00,2025-10-31 12:42:00
568,572,1.4958504,1.4988421008,short,-1.0604999999999989,886.0069999999992,2025-10-31 12:48:00,2025-10-31 13:00:00
576,578,1.5051504999999998,1.5111711019999998,long,2.0894999999999957,888.0964999999992,2025-10-31 13:12:00,2025-10-31 13:18:00
580,582,1.510151,1.507130698,long,-1.0604999999999718,887.0359999999993,2025-10-31 13:24:00,2025-10-31 13:30:00
589,593,1.5131512999999999,1.5101249974,long,-1.060499999999972,885.9754999999993,2025-10-31 13:51:00,2025-10-31 14:03:00
609,610,1.5141514,1.5202080056,long,2.0894999999999957,888.0649999999994,2025-10-31 14:51:00,2025-10-31 14:54:00
612,613,1.5261526,1.5231002948,long,-1.060499999999998,887.0044999999993,2025-10-31 15:00:00,2025-10-31 15:03:00
624,625,1.5138486,1.5168762972,short,-1.0605000000000235,885.9439999999993,2025-10-31 15:36:00,2025-10-31 15:39:00
640,645,1.5251525,1.522102195,long,-1.0604999999999725,884.8834999999993,2025-10-31 16:24:00,2025-10-31 16:39:00
648,650,1.5078492000000001,1.5108648984000002,short,-1.0605000000000153,883.8229999999993,2025-10-31 16:48:00,2025-10-31 16:54:00
652,653,1.5028496999999998,1.4968383012,short,2.0894999999999655,885.9124999999992,2025-10-31 17:00:00,2025-10-31 17:03:00
667,668,1.5131512999999999,1.5101249974,long,-1.060499999999972,884.8519999999993,2025-10-31 17:45:00,2025-10-31 17:48:00
670,671,1.510151,1.507130698,long,-1.0604999999999718,883.7914999999994,2025-10-31 17:54:00,2025-10-31 17:57:00
677,678,1.5028496999999998,1.5058553994,short,-1.0605000000000215,882.7309999999993,2025-10-31 18:15:00,2025-10-31 18:18:00
685,687,1.5171516999999999,1.5141173965999999,long,-1.0604999999999978,881.6704999999993,2025-10-31 18:39:00,2025-10-31 18:45:00
696,697,1.5068492999999998,1.5098629985999998,short,-1.060500000000001,880.6099999999992,2025-10-31 19:12:00,2025-10-31 19:15:00
702,703,1.5261526,1.5322572104,long,2.089499999999996,882.6994999999993,2025-10-31 19:30:00,2025-10-31 19:33:00
706,707,1.5311530999999998,1.5280907938,long,-1.0604999999999727,881.6389999999993,2025-10-31 19:42:00,2025-10-31 19:45:00
709,710,1.5331533,1.5300869933999999,long,-1.0605000000000235,880.5784999999993,2025-10-31 19:51:00,2025-10-31 19:54:00
722,723,1.5341534000000001,1.5310850932000002,long,-1.0604999999999727,879.5179999999993,2025-10-31 20:30:00,2025-10-31 20:33:00
726,727,1.5351534999999998,1.5412941139999998,long,2.089499999999996,881.6074999999994,2025-10-31 20:42:00,2025-10-31 20:45:00
729,730,1.5451545,1.542064191,long,-1.0605000000000235,880.5469999999993,2025-10-31 20:51:00,2025-10-31 20:54:00
732,733,1.5541554,1.5510470892,long,-1.0605000000000235,879.4864999999993,2025-10-31 21:00:00,2025-10-31 21:03:00
735,736,1.5541554,1.5510470892,long,-1.0605000000000235,878.4259999999992,2025-10-31 21:09:00,2025-10-31 21:12:00
739,740,1.5751575,1.572007185,long,-1.0605000000000235,877.3654999999992,2025-10-31 21:21:00,2025-10-31 21:24:00
750,759,1.5451545,1.542064191,long,-1.0605000000000235,876.3049999999992,2025-10-31 21:54:00,2025-10-31 22:21:00
768,772,1.5278472,1.5217358112000001,short,2.089499999999983,878.3944999999991,2025-10-31 22:48:00,2025-10-31 23:00:00
781,782,1.5128487,1.5067973051999999,short,2.089500000000019,880.4839999999991,2025-10-31 23:27:00,2025-10-31 23:30:00
791,792,1.5208479,1.5147645083999999,short,2.0895000000000152,882.5734999999992,2025-10-31 23:57:00,2025-11-01 00:00:00
794,796,1.5148484999999998,1.5087891059999998,short,2.089499999999999,884.6629999999992,2025-11-01 00:06:00,2025-11-01 00:12:00
812,813,1.5331533,1.5300869933999999,long,-1.0605000000000235,883.6024999999992,2025-11-01 01:00:00,2025-11-01 01:03:00
829,834,1.5218478,1.5157604088,short,2.089499999999967,885.6919999999991,2025-11-01 01:51:00,2025-11-01 02:06:00
838,844,1.5261526,1.5322572104,long,2.089499999999996,887.7814999999991,2025-11-01 02:18:00,2025-11-01 02:36:00
846,848,1.5451545,1.551335118,long,2.0894999999999713,889.8709999999991,2025-11-01 02:42:00,2025-11-01 02:48:00
868,878,1.5481548,1.5450584904,long,-1.0605000000000233,888.810499999999,2025-11-01 03:48:00,2025-11-01 04:18:00
882,885,1.5541554,1.5510470892,long,-1.0605000000000235,887.749999999999,2025-11-01 04:30:00,2025-11-01 04:39:00
898,900,1.5561556,1.5623802224,long,2.089499999999997,889.839499999999,2025-11-01 05:18:00,2025-11-01 05:24:00
908,910,1.5488450999999999,1.5519427901999998,short,-1.0604999999999822,888.7789999999991,2025-11-01 05:48:00,2025-11-01 05:54:00
919,931,1.5528446999999999,1.5559503894,short,-1.0605000000000375,887.718499999999,2025-11-01 06:21:00,2025-11-01 06:57:00
934,940,1.5581558,1.5643884232,long,2.089500000000022,889.8079999999991,2025-11-01 07:06:00,2025-11-01 07:24:00
942,945,1.5671567,1.5640223866,long,-1.0604999999999738,888.7474999999991,2025-11-01 07:30:00,2025-11-01 07:39:00
950,957,1.5671567,1.5640223866,long,-1.0604999999999738,887.6869999999992,2025-11-01 07:54:00,2025-11-01 08:15:00
959,960,1.5641564000000001,1.5610280872000002,long,-1.0604999999999736,886.6264999999993,2025-11-01 08:21:00,2025-11-01 08:24:00
965,967,1.5811581,1.5779957837999998,long,-1.0605000000000235,885.5659999999992,2025-11-01 08:39:00,2025-11-01 08:45:00
971,972,1.5851585,1.581988183,long,-1.0604999999999745,884.5054999999993,2025-11-01 08:57:00,2025-11-01 09:00:00
980,981,1.6061606000000002,1.6029482788000002,long,-1.060499999999975,883.4449999999994,2025-11-01 09:24:00,2025-11-01 09:27:00
1010,1011,1.6071606999999999,1.6039463786,long,-1.0604999999999993,882.3844999999993,2025-11-01 10:54:00,2025-11-01 10:57:00
