total_trades,win_rate,avg_pnl,total_pnl,initial_balance,final_balance,net_roi,avg_win,avg_loss,profit_factor,max_drawdown,expectancy,sharpe_ratio,long_trades,short_trades,win_long,win_short,avg_duration_candles,gross_profit,gross_loss,symbol
1535,50.1,0.0739,113.5,50.0,163.5,227.0,0.2985,-0.1515,1.98,-33.31,0.0739,106.51,526,1009,47.34,51.54,1.2,229.55,-116.05,1000SATSUSDT
1469,41.18,0.0338,49.62,50.0,99.62,99.25,0.2984,-0.1515,1.38,-14.11,0.0338,49.45,745,724,44.3,37.98,1.7,180.52,-130.9,JELLYJELLYUSDT
1698,65.61,0.1437,244.05,50.0,294.05,488.11,0.2985,-0.1515,3.76,-9.79,0.1437,217.94,791,907,62.58,68.25,1.2,332.53,-88.48,GTCUSDT
1691,64.93,0.1407,237.91,50.0,287.91,475.83,0.2985,-0.1515,3.65,-7.75,0.1407,212.37,809,882,63.41,66.33,1.2,327.75,-89.84,FLMUSDT
1005,55.02,0.0961,96.59,50.0,146.59,193.19,0.2985,-0.1515,2.41,-1.99,0.0961,139.13,426,579,57.04,53.54,1.0,165.07,-68.48,LABUSDT
1504,68.28,0.156,234.6,50.0,284.6,469.2,0.2988,-0.1515,4.25,-1.13,0.156,241.09,703,801,69.99,66.79,1.0,306.86,-72.27,COAIUSDT
1632,58.76,0.1129,184.3,50.0,234.3,368.6,0.2985,-0.1515,2.81,-2.79,0.1129,165.24,765,867,64.05,54.09,1.0,286.26,-101.96,EVAAUSDT
1561,43.18,0.0428,66.81,50.0,116.81,133.62,0.2985,-0.1515,1.5,-14.84,0.0428,62.23,795,766,44.28,42.04,1.4,201.19,-134.38,PIPPINUSDT
1774,37.82,0.0187,33.19,50.0,83.19,66.38,0.2985,-0.1515,1.2,-29.34,0.0187,27.79,766,1008,36.29,38.99,1.4,200.29,-167.1,CELOUSDT
1355,51.73,0.0813,110.17,50.0,160.17,220.34,0.2985,-0.1515,2.11,-8.46,0.0813,117.19,687,668,53.42,50.0,1.9,209.25,-99.08,ICNTUSDT
379,57.78,0.1085,41.13,50.0,91.13,82.26,0.2985,-0.1515,2.7,-1.77,0.1085,158.11,152,227,55.26,59.47,1.0,65.37,-24.24,KITEUSDT
1356,59.07,0.1143,155.02,50.0,205.02,310.03,0.2985,-0.1515,2.84,-3.72,0.1143,167.45,652,704,57.67,60.37,2.2,239.1,-84.08,ZKJUSDT
1668,46.7,0.0587,97.85,50.0,147.85,195.7,0.2985,-0.1515,1.73,-5.15,0.0587,84.69,834,834,46.76,46.64,1.2,232.53,-134.68,UBUSDT
1291,39.97,0.0284,36.61,50.0,86.61,73.23,0.2985,-0.1515,1.31,-34.21,0.0284,41.7,563,728,41.92,38.46,2.3,154.03,-117.41,1000WHYUSDT
386,48.19,0.0653,25.22,50.0,75.22,50.44,0.2985,-0.1515,1.83,-2.52,0.0653,94.09,163,223,46.63,49.33,1.1,55.52,-30.3,ATUSDT
1520,43.22,0.043,65.37,50.0,115.37,130.74,0.2985,-0.1515,1.5,-6.41,0.043,62.53,743,777,47.38,39.25,1.3,196.11,-130.74,PORT3USDT
1654,44.62,0.0493,81.52,50.0,131.52,163.04,0.2985,-0.1515,1.59,-3.86,0.0493,71.41,799,855,47.81,41.64,1.3,220.29,-138.77,DASHUSDT
1046,62.52,0.1299,135.83,50.0,185.83,271.66,0.2985,-0.1515,3.29,-1.86,0.1299,193.19,431,615,64.5,61.14,3.4,195.22,-59.39,CARVUSDT
447,51.23,0.079,35.33,50.0,85.33,70.66,0.2985,-0.1515,2.07,-2.07,0.079,113.8,191,256,51.83,50.78,1.1,68.36,-33.03,COMMONUSDT
1279,54.5,0.0937,119.88,50.0,169.88,239.76,0.2985,-0.1515,2.36,-4.8,0.0937,135.56,596,683,52.52,56.22,3.7,208.05,-88.17,SAFEUSDT
1419,41.79,0.0366,51.87,50.0,101.87,103.74,0.2985,-0.1515,1.41,-23.25,0.0366,53.38,685,734,42.34,41.28,2.7,177.01,-125.14,ALTUSDT
1470,38.91,0.0236,34.69,50.0,84.7,69.39,0.2985,-0.1515,1.26,-19.76,0.0236,34.87,711,759,41.07,36.89,2.1,170.74,-136.05,ZKUSDT
1613,58.34,0.111,179.08,50.0,229.08,358.16,0.2985,-0.1515,2.76,-1.47,0.111,162.21,790,823,60.63,56.14,1.0,280.89,-101.81,AIAUSDT
1469,40.78,0.032,47.0,50.0,97.0,93.99,0.2985,-0.1515,1.36,-10.05,0.032,46.89,815,654,40.25,41.44,1.4,178.8,-131.81,ARCUSDT
758,46.17,0.0563,42.66,50.0,92.66,85.33,0.2985,-0.1515,1.69,-2.28,0.0563,81.29,338,420,48.22,44.52,1.1,104.48,-61.81,TURTLEUSDT
1478,60.69,0.1216,179.73,50.0,229.73,359.47,0.2985,-0.1515,3.04,-1.0,0.1216,179.32,621,857,64.09,58.23,1.0,267.75,-88.02,4USDT
1193,37.47,0.0171,20.41,50.0,70.41,40.82,0.2985,-0.1515,1.18,-17.58,0.0171,25.46,577,616,35.18,39.61,4.6,133.43,-113.02,SXPUSDT
1360,50.22,0.0745,101.31,50.0,151.31,202.62,0.2985,-0.1515,1.99,-7.58,0.0745,107.3,634,726,47.32,52.75,1.8,203.88,-102.57,OLUSDT
1610,42.61,0.0402,64.78,50.0,114.79,129.57,0.2985,-0.1515,1.46,-12.87,0.0402,58.61,778,832,44.73,40.62,1.3,204.77,-139.99,ZENUSDT
1579,42.24,0.0386,60.93,50.0,110.93,121.86,0.2985,-0.1515,1.44,-8.36,0.0386,56.27,798,781,42.73,41.74,1.5,199.1,-138.17,AI16ZUSDT
1227,41.24,0.0341,41.81,50.0,91.81,83.62,0.2985,-0.1515,1.38,-12.26,0.0341,49.85,588,639,39.46,42.88,4.2,151.04,-109.23,STGUSDT
1412,44.83,0.0501,70.75,50.0,120.75,141.49,0.2982,-0.1515,1.6,-15.34,0.0501,72.59,671,741,43.07,46.42,2.8,188.76,-118.02,MINAUSDT
1105,51.95,0.0823,90.89,50.0,140.89,181.79,0.2985,-0.1515,2.13,-2.82,0.0823,118.57,467,638,53.53,50.78,1.1,171.34,-80.45,RECALLUSDT
1397,36.01,0.0106,14.8,50.0,64.8,29.6,0.2987,-0.1515,1.11,-21.96,0.0106,15.89,718,679,37.33,34.61,3.1,150.24,-135.44,ICPUSDT
1505,42.13,0.0381,57.29,50.0,107.29,114.59,0.2985,-0.1515,1.43,-6.22,0.0381,55.53,669,836,39.61,44.14,1.7,189.25,-131.96,KDAUSDT
